"57935","43187","0"
"57927","43137","0"
"57961","43204","0"
"58000","43207","0"
"57965","43233","0"
"58031","43267","0"
"57993","43204","0"
"58018","43199","0"
"58005","43210","0"
"58027","43197","0"
"57941","43183","0"
"57942","43176","0"
"57872","43143","0"
"57910","43171","0"
"57955","43158","0"
"57877","43129","0"
"57881","43173","0"
"57925","43131","0"
"57853","43090","0"
"57944","43176","0"
"57901","43166","0"
"57902","43149","0"
"57961","43168","0"
"57948","43197","0"
"57943","43147","0"
"57951","43235","0"
"57932","43202","0"
"57937","43217","0"
"57869","43111","0"
"57911","43250","0"
"57957","43159","0"
"57886","43203","0"
"57942","43150","0"
"57950","43133","0"
"57996","43191","0"
"57997","43210","0"
"57983","43191","0"
"58006","43159","0"
"57949","43181","0"
"57929","43177","0"
"57899","43182","0"
"57928","43162","0"
"57946","43169","0"
"57979","43200","0"
"57891","43163","0"
"57875","43167","0"
"57891","43168","0"
"57887","43178","0"
"57950","43165","0"
"57940","43245","0"
"57927","43180","0"
"57891","43168","0"
"57901","43156","0"
"57892","43140","0"
"57931","43201","0"
"57824","43133","0"
"57875","43101","0"
"57819","43140","0"
"57850","43081","0"
"57924","43154","0"
"57883","43178","0"
"57937","43181","0"
"57898","43208","0"
"57886","43168","0"
"57861","43168","0"
"57880","43157","0"
"57927","43176","0"
"57932","43160","0"
"58010","43133","0"
"57977","43248","0"
"58016","43278","0"
"57934","43170","0"
"58014","43163","0"
"57973","43218","0"
"57972","43140","0"
"57965","43185","0"
"57928","43184","0"
"57937","43171","0"
"57926","43208","0"
"57940","43206","0"
"57929","43172","0"
"57911","43203","0"
"57981","43199","0"
"57939","43173","0"
"57920","43219","0"
"57878","43150","0"
"57889","43164","0"
"57931","43219","0"
"57963","43190","0"
"57864","43155","0"
"57932","43166","0"
"57918","43184","0"
"57932","43221","0"
"57873","43228","0"
"57940","43203","0"
"57968","43218","0"
"57875","43152","0"
"57972","43195","0"
"57941","43240","0"
"57958","43216","0"
"57967","43181","0"
"58031","43216","0"
"58052","43247","0"
"57957","43237","0"
"57974","43162","0"
"57976","43227","0"
"57913","43173","0"
"57925","43176","0"
"57983","43220","0"
"58008","43247","0"
"57983","43238","0"
"57904","43162","0"
"57909","43171","0"
"57930","43180","0"
"57912","43138","0"
"57867","43136","0"
"57934","43127","0"
"57864","43124","0"
"57926","43142","0"
"57923","43171","0"
"57939","43211","0"
"57948","43181","0"
"57994","43215","0"
"57951","43244","0"
"57918","43212","0"
"57954","43208","0"
"57909","43225","0"
"57922","43196","0"
"57938","43191","0"
"57931","43201","0"
"57993","43183","0"
"57965","43225","0"
"58066","43277","0"
"57966","43210","0"
"58011","43189","0"
"58018","43171","0"
"57933","43199","0"
"57975","43191","0"
"57962","43220","0"
"57949","43183","0"
"57851","43149","0"
"57912","43160","0"
"57913","43175","0"
"57945","43193","0"
"57871","43164","0"
"57916","43192","0"
"57893","43173","0"
"57912","43129","0"
"57815","43121","0"
"57892","43156","0"
"57962","43215","0"
"57948","43186","0"
